River_ID,River_Name,Country,Continent,Population_2015,Population_2060,Waste_Generation_2015_tons,Waste_Generation_2060_tons,Plastic_Waste_2015_tons,Plastic_Waste_2060_tons,Mismanaged_Waste_2015_tons,Mismanaged_Waste_2060_tons,Plastic_to_River_2015_tons,Plastic_to_River_2060_tons,River_Length_km,Basin_Area_km2,Urbanization_2015_pct,Urbanization_2060_pct,GDP_per_capita_2015,GDP_per_capita_2060,Policy_Strength_2015,Policy_Strength_2060,Waste_Collection_Rate_2015,Waste_Collection_Rate_2060,Risk_Score_Change
1,River_0,Brazil,South America,16194478,26111907,17792.200651842257,19741.088429499338,2334.3172264661466,3190.4900092483344,1509.0671272344373,1405.238577600028,471.46542797789215,77.49346025121373,2426.279137796886,416388.8777594105,32.74034664069657,40.46772114880308,4993.410491409129,7967.060919992155,0.5247564316322378,0.7975344390890842,0.40386039813862934,0.6068236218192242,-393.97196772667843
2,River_1,Vietnam,Asia,13337723,23762872,9773.5011609981,16410.7923061798,2186.1093921321917,3716.9197066656416,1515.6129272783269,1437.3520198346034,542.5623318693977,316.3279546661933,1153.7231673253802,7619.215618773398,76.53210534109117,89.98142860877425,9942.704312227945,12137.617216913588,0.230893825622149,0.4273040120325537,0.6782844631778207,0.880783627623476,-226.23437720320436
3,River_2,USA,North America,13579854,16585826,12100.472955995905,12974.031642973525,3038.0933591099265,3049.3019002151264,1164.1264817498256,1302.2962553927252,127.34843806847041,339.3408897519793,1151.8976267559258,198179.9677649054,75.59953194762765,91.50861188547397,8500.248835742967,16503.88905097647,0.5208342600258237,1.0,0.7911736940747061,1.0,211.9924516835089
4,River_3,DR Congo,Africa,2804238,4711445,2402.5402353405775,4150.474490994061,501.0238586039434,739.5516538332812,311.0750882443119,169.9639514977403,123.2062910914806,41.3116407031672,536.8534197587223,3755.536444677597,68.92768570729005,84.53054586500431,18360.675617004188,40442.168783474546,0.07404465173409036,0.3174309431517994,0.2811083416675908,0.5468841981364891,-81.8946503883134
5,River_4,Nigeria,Africa,17873323,23800628,10072.660424009244,21681.951353730798,1662.3582780662582,6416.149836281088,922.6470595200093,3560.2259244672546,222.97101960064109,284.4569299250263,1797.4497286963378,380631.73925983184,53.67663185416978,70.2411395534882,12597.992110927573,23678.589811993457,0.42754101835854963,0.5377086690561877,0.2755239988953131,0.3333812953169967,61.48591032438523
6,River_5,Indonesia,Asia,15552902,22283562,16537.02076994264,28868.71303387397,2114.52750807752,7820.057330092589,1090.9617874424464,2199.1916335964024,417.68134373397305,439.21456256766885,1752.223085947276,440353.4516686136,57.4612428880276,66.89574817559331,3084.60936584163,5532.2312945346475,0.2184404372168336,0.4850444163649801,0.8182961812432077,0.9493824364945262,21.5332188336958
7,River_6,Philippines,Asia,2584413,3041948,1881.285097230507,3124.4084833960633,495.9123074119483,1006.5160597583217,150.15275106084522,406.9333569606894,33.81789823984141,42.942437078545176,343.6701499675229,169469.97053041036,76.57458223475115,86.42262621506248,13210.37023271247,27925.727225162747,0.363629602379294,0.8523424354676783,0.8737131064594779,0.986658680415819,9.124538838703764
8,River_7,Brazil,South America,5825570,7635078,4572.143238830544,4862.681520233751,1014.6174135307402,1218.2758274078901,325.2777190372447,379.44246619043435,121.15936860369709,41.69711195950152,404.9924366234966,245236.92737850395,79.13902724663603,87.76985631930854,16967.320911444025,37160.22284718561,0.23763754399239967,0.6289240834371436,0.45744819290347727,0.6655246505518722,-79.46225664419558
9,River_8,DR Congo,Africa,3180389,4386319,4186.765448836324,6133.587790277112,544.8803460052184,1543.4545309516936,315.1179929691966,838.6260207791452,62.326454096216025,88.10626937198882,1792.3163544731437,404941.022023718,40.91995923750376,47.36260750387507,23542.819979995296,40419.34045400472,0.5177513505274801,0.9528353928904113,0.6729830819274965,0.9067871117376896,25.77981527577279
10,River_9,Nigeria,Africa,12205878,18052659,14595.598492709352,14957.531007949217,1970.2742233136396,5181.792341267612,998.2480187580708,1576.9835164596682,398.17728646493083,459.46177668638677,1417.818961337389,441435.5352514805,31.322426500482763,40.505496789365495,17658.766834332895,40626.809409218535,0.8563242918780924,1.0,0.8214390691326718,1.0,61.28449022145594
